무릎높이,Selected,Selected (1),성별,키,몸무게,발사이즈,허리둘레,나이,암홀둘레
continuous,No Yes,No Yes,남 여,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,
438,No,No,남,1722,60.7,253,742,18,424
457,No,No,남,1800,82.6,272,862,18,452
453,No,No,남,1818,95.2,265,960,18,440
452,No,No,남,1734,77.5,245,870,18,432
423,No,No,남,1665,56.6,260,712,18,404
455,No,No,남,1760,58.3,256,664,18,377
475,No,No,남,1793,61.5,250,716,18,399
443,No,No,남,1671,60.1,246,699,18,398
474,No,No,남,1818,92.7,272,877,18,463
468,No,No,남,1779,64.7,258,723,18,393
459,No,No,남,1725,58.7,267,710,18,393
458,No,No,남,1718,60.8,247,740,18,380
483,No,No,남,1778,77.9,250,830,18,426
449,No,No,남,1675,62.2,236,740,18,396
454,No,No,남,1772,67.5,264,707,18,412
406,No,No,남,1663,61.2,259,767,18,377
447,No,No,남,1810,76.9,268,770,18,420
440,No,No,남,1739,62.9,241,715,18,417
422,No,No,남,1681,56.7,239,708,18,384
466,No,No,남,1766,65.6,250,732,18,391
434,No,No,남,1721,60.5,245,690,18,373
443,No,No,남,1710,63.6,254,741,18,428
422,No,No,남,1638,62,245,814,18,401
457,No,No,남,1705,78.4,259,839,18,435
459,No,No,남,1791,60.1,254,670,18,375
429,No,No,남,1703,69.6,251,815,18,426
453,No,No,남,1768,81.7,262,804,18,440
407,No,No,남,1690,55.2,253,682,18,373
430,No,No,남,1720,54.4,252,665,18,395
455,No,No,남,1765,71.6,258,776,18,450
427,No,No,남,1684,52.2,244,646,18,381
396,No,No,남,1600,63.1,232,790,18,419
424,No,No,남,1724,58.1,248,674,18,392
440,No,No,남,1730,81.4,246,871,18,435
411,No,No,남,1668,60.5,263,699,18,436
474,No,No,남,1744,67.9,265,817,18,410
477,No,No,남,1855,103.103,276.977,977.245,18,489.827
459,No,No,남,1706,61.5,255,704,18,389
433,No,No,남,1627,53.1,240,692,18,382
448,No,No,남,1736,52.5,248,656,18,373
452,No,No,남,1650,74,243,840,18,437
442,No,No,남,1683,58.2,246,700,18,373
442,No,No,남,1656,89.5,239,912,18,444.361
402,No,No,남,1662,60.2,242,750,18,395
397,No,No,남,1682,68.5,251,763,18,408
455,No,No,남,1742,65,256,736,18,391
411,No,No,남,1717,61.3,242,742,18,380
412,No,No,남,1748,71.9,244,715,18,425
440,No,No,남,1720,67,252,738,18,426
444,No,No,남,1796,67.4,271,740,18,411
420,No,No,남,1674,77.8,251,784,18,437
456,No,No,남,1658,56.1,234,720,18,412
430,No,No,남,1738,68.9,253,743,18,436
437,No,No,남,1748,65.9,251,760,18,414
467,No,No,남,1860,69,270,689,18,418
458,No,No,남,1714,73,254,906,18,412
458,No,No,남,1770,71.6,269,773,18,393
462,No,No,남,1785,96.9178,255,982.424,18,495
491,No,No,남,1778,70.6,255,730,18,398
443,No,No,남,1709,60,250,710,18,410
431,No,No,남,1698,64.3,251,718,18,412
445,No,No,남,1670,51.7,244,666,18,372
429,No,No,남,1628,61.1,230,722,18,403
484,No,No,남,1774,58.9,251,694,18,383
438,No,No,남,1680,58.2,246,680,18,385
444,No,No,남,1785,58.8,257,679,18,378
414,No,No,남,1680,61.3,250,705,18,404
437,No,No,남,1764,75,254,833,18,450
446,No,No,남,1738,86.5,259,907,18,447
441,No,No,남,1767,82.2,258,861,18,468
446,No,No,남,1742,67.7,256,728,18,427
427,No,No,남,1720,81.5,253,804,18,450
438,No,No,남,1721,65.4,259,728,18,412
460,No,No,남,1775,59.4,236,700,18,405
453,No,No,남,1826,72.4,277,749,18,429
424,No,No,남,1680,67.1,240,768,18,435
450,No,No,남,1619,88.2,237,983.891,18,453
434,No,No,남,1718,65.1,260,756,18,442
468,No,No,남,1802,70.7,272,756,18,450
438,No,No,남,1698,66.2,235,780,18,450
466,No,No,남,1785,68.8,266,735,18,425
454,No,No,남,1685,65.6,258,764,18,398
452,No,No,남,1705,60.7,273,762,18,415
446,No,No,남,1740,61.9,236,700,18,392
432,No,No,남,1672,62.4,258,768,18,437
449,No,No,남,1744,63.2,255,713,18,395
458,No,No,남,1740,72.8,250,795,18,423
502,No,No,남,1766,68.9,253,710,18,400
418,No,No,남,1755,71.3,255,783,18,412
447,No,No,남,1767,70.9,259,752,18,392
395,No,No,남,1660,84.7,245,909,18,456
455,No,No,남,1688,80.6,260,888,18,442
443,No,No,남,1771,66.1,257,729,18,411
429,No,No,남,1718,71.6,254,770,18,427
451,No,No,남,1701,64.2,248,699,18,414
486,No,No,남,1793,69.8,260,751,18,420
431,No,No,남,1765,65.7,258,730,18,393
432,No,No,남,1734,84,264,882,18,440
458,No,No,남,1730,56.3,249,691,18,419
467,No,No,남,1825,66.6,273,691,18,400
447,No,No,남,1722,61.2,251,714,18,402
428,No,No,남,1715,57.4,260,671,18,401
434,No,No,남,1742,73.4,255,804,18,427
471,No,No,남,1803,87.7,252,890,18,444
465,No,No,남,1786,65.1,271,710,18,410
433,No,No,남,1757,57.1,255,685,18,400
428,No,No,남,1658,53.3,236,675,18,396
462,No,No,남,1760,66.4,264,711,18,422
444,No,No,남,1683,67,254,741,18,426
447,No,No,남,1700,62.2,247,741,18,411
477,No,No,남,1759,56.1,245,683,18,380
416,No,No,남,1606,52.3,234,687,18,397
463,No,No,남,1810,75.5,280,779,18,452
455,No,No,남,1740,66.2,257,770,18,430
463,No,No,남,1720,58.2,255,672,18,388
428,No,No,남,1660,55.6,247,656,18,391
444,No,No,남,1724,64.8,254,674,18,400
467,No,No,남,1730,56.2,245,641,18,369
467,No,No,남,1726,64.3,265,750,18,400
486,No,No,남,1692,71.5,254,791,18,455
468,No,No,남,1749,77.1,253,805,18,424
433,No,No,남,1747,53.7,245,654,18,366
424,No,No,남,1690,61.4,256,724,18,406
424,No,No,남,1720,61.6,246,735,18,394
425,No,No,남,1715,77.5,244,820,18,438
420,No,No,남,1737,65.3,256,763,18,418
414,No,No,남,1704,64.4,240,739,18,415
407,No,No,남,1650,59.9,228,742,18,403
430,No,No,남,1674,82.8,228,950,18,459
454,No,No,남,1720,95.7063,255,982,18,415
478,No,No,남,1815,87.5,279,893,18,450
429,No,No,남,1713,54.3,229,624,18,359
434,No,No,남,1688,70.9,247,826,18,451
427,No,No,남,1688,58.8,241,670,18,412
435,No,No,남,1658,51.7,230,675,18,382
458,No,No,남,1814,72.2,252,746,18,435
455,No,No,남,1740,80.6,260,833,18,456
450,No,No,남,1723,74.8,246,800,18,446
430,No,No,남,1757,58.4,256,699,18,395
456,No,No,남,1688,63.3,258,725,18,404
444,No,No,남,1700,59.6,233,755,18,401
404,No,No,남,1601,50.4,234,798,18,382
429,No,No,남,1626,77.8,227,882,18,458
454,No,No,남,1715,77.2,254,793,18,459
472,No,No,남,1837,69.2,275,743,18,410
437,No,No,남,1660,71.8,234,824,18,415
478,No,No,남,1771,81.5,253,843,18,460
427,No,No,남,1656,57.4,241,710,18,381
455,No,No,남,1786,65.7,265,715,18,392
443,No,No,남,1731,79.9,267,837,18,431
431,No,No,남,1736,63.9,256,728,18,391
435,No,No,남,1733,64.9,253,731,18,415
456,No,No,남,1794,67.3,250,754,18,410
401,No,No,남,1588,55.4,237,740,18,370
435,No,No,남,1637,60.5,229,720,18,407
461,No,No,남,1765,57,248,670,18,368
440,No,No,남,1653,70.2,235,815,18,411
393,No,No,남,1592,62,238,742,18,405
443,No,No,남,1687,65.2,250,798,18,438
443,No,No,남,1726,61.4,261,724,18,392
400,No,No,남,1682,69.7,227,679,18,390
450,No,No,남,1715,63.2,251,750,18,406
450,No,No,남,1770,97.8207,260,994.36,18,522.782
444,No,No,남,1760,63,272,700,18,411
507,No,No,남,1814,66.9,252,752,18,400
461,No,No,남,1791,65.9,280,720,18,400
459,No,No,남,1748,66,265,726,18,412
509,No,No,남,1790,73.5,256,816,18,444
454,No,No,남,1730,84.7,252,872,18,450
452,No,No,남,1682,56.3,248,690,18,396
433,No,No,남,1775,69.7,254,721,18,401
423,No,No,남,1665,62.1,250,778,18,388
436,No,No,남,1724,73.7,258,827,18,438
445,No,No,남,1725,72.9,264,793,18,417
469,No,No,남,1767,84,268,884,18,448
456,No,No,남,1680,67.2,264,714,18,410
453,No,No,남,1770,51.3,259,635,18,374
417,No,No,남,1744,71.5,254,768,18,411
452,No,No,남,1854,70.1,269,730,18,423
428,No,No,남,1757,73.6,255,795,18,458
444,No,No,남,1725,61.3,246,730,18,399
462,No,No,남,1814,74.3,267,732,18,414
442,No,No,남,1785,72.3,266,788,18,443
446,No,No,남,1770,65.89,244,692,18,398
407,No,No,남,1643,64.5,265,744,18,410
452,No,No,남,1794,78,261,790,18,441
440,No,No,남,1708,69.6,246,765,18,432
423,No,No,남,1785,90,271,855,18,450
435,No,No,남,1722,70.3,246,805,18,421
403,No,No,남,1655,70.6,234,821,18,424
442,No,No,남,1734,51.8,248,650,18,392
440,No,No,남,1694,72.9,260,799,18,430
416,No,No,남,1785,62.2,253,665,18,386
467,No,No,남,1715,65.6,252,770,18,388
420,No,No,남,1697,56.7,249,724,18,382
480,No,No,남,1800,86.7,296.261,882,18,455.631
463,No,No,남,1804,59.6,268,682,18,409
413,No,No,남,1657,52.5,243,662,18,400
470,No,No,남,1787,55,265,670,18,360
425,No,No,남,1667,63,242,727,18,397
452,No,No,남,1704,76.7,265,809,18,452
468,No,No,남,1690,58.6,240,730,18,371
409,No,No,남,1650,50.8,230,628,18,350
444,No,No,남,1753,66.9,266,718,18,414
434,No,No,남,1813,78.7,272,770,18,413
445,No,No,남,1829,60.1,261,680,18,396
453,No,No,남,1784,74.1,251,759,18,439
436,No,No,남,1694,59.5,260,700,18,395
445,No,No,남,1792,67.4,248,740,18,428
432,No,No,남,1735,62.6,259,743,18,414
437,No,No,남,1729,73.2,250,821,18,430
453,No,No,남,1776,79.1,250,870,18,433
420,No,No,남,1725,74.1,252,810,18,444
437,No,No,남,1664,55.9,246,722,18,388
454,No,No,남,1772,56.8,249,661,18,395
480,No,No,남,1760,89.3,259,940,18,464
452,No,No,남,1712,72.9,275,800,18,405
472,No,No,남,1751,65.3,264,705,18,420
471,No,No,남,1763,65,247,724,18,414
426,No,No,남,1653,62.5,229,730,18,424
444,No,No,남,1739,81.3,251,832,18,430
479,No,No,남,1783,63.7,247,729,18,402
467,No,No,남,1768,86.8,265,893,18,463
457,No,No,남,1730,73,265,763,18,427
494,No,No,남,1833,55.4,271,641,18,384
434,No,No,남,1694,56.2,235,670,18,380
421,No,No,남,1675,56.2,236,688,18,376
392,No,No,남,1641,60.5,242,753,18,408
406,No,No,남,1660,54.5,237,692,18,382
442,No,No,남,1774,79.8,260,866,18,440
424,No,No,남,1703,79.9,254,860,18,470
408,No,No,남,1671,63.5,232,796,18,413
510,No,No,남,1793,63.6,257,704,18,386
450,No,No,남,1788,70.8,257,806,18,395
450,No,No,남,1805,66,265,685,18,402
465,No,No,남,1789,63.2,225,705,18,414
433,No,No,남,1707,67.7,257,771,18,435
433,No,No,남,1694,67.8,240,742,18,434
434,No,No,남,1762,79.6,264,795,18,442
449,No,No,남,1790,66.2,252,712,18,426
443,No,No,남,1675,56.7,246,684,18,387
426,No,No,남,1608,54.7,240,707,18,406
491,No,No,남,1845,73,280,730,18,427
448,No,No,남,1680,54.4,245,644,18,383
447,No,No,남,1685,66.1,253,765,18,450
457,No,No,남,1718,67.3,275,772,18,450
481,No,No,남,1847,64,274,703,18,425
493,No,No,남,1790,87.4,269,930,18,450
411,No,No,남,1690,58.7,260,692,18,415
454,No,No,남,1756,77.8,256,808,18,450
463,No,No,남,1718,75.9,251,870,18,465
432,No,No,남,1672,69.4,247,781,18,405
489,No,No,남,1769,71.7,265,780,18,446
505,No,No,남,1805,69,266,790,18,431
439,No,No,남,1726,59.1,248,663,18,393
425,No,No,남,1727,76.1,253,826,18,425
457,No,No,남,1697,49.4,251,625,18,374
410,No,No,남,1661,47.4,241,636,18,370
461,No,No,남,1785,61.3,244,720,18,390
415,No,No,남,1678,58.4,254,730,18,410
430,No,No,남,1690,51,234,660,18,375
457,No,No,남,1770,72.3,244,810,18,442
453,No,No,남,1685,50.5,246,626,18,376
426,No,No,남,1698,66.2,249,795,18,409
445,No,No,남,1758,77.7,254,840,18,439
431,No,No,남,1705,63.7,244,750,18,397
400,No,No,남,1648,54.8,230,682,19,404
474,No,No,남,1763,58.7,273,692,19,378
438,No,No,남,1703,67.4,252,753,19,424
437,No,No,남,1756,90.7,266,924,19,442
476,No,No,남,1787,84.2,277,882,19,467.385
452,No,No,남,1676,55.4,254,671,19,385
442,No,No,남,1658,64.5,240,743,19,408
457,No,No,남,1670,46.8,248,630,19,357
497.474,No,No,남,1825,67.2,256,730,19,382
482,No,No,남,1775,78.8,264,812,19,445
415,No,No,남,1629,52.1,240,673,19,390
435,No,No,남,1672,58.9,247,724,19,407
445,No,No,남,1737,47.3,241,627,19,353
475,No,No,남,1806,92.2,237,958,19,452
452,No,No,남,1838,64.9,257,705,19,430
441,No,No,남,1738,72.1,253,763,19,420
458,No,No,남,1759,56.6,270,640,19,380
456,No,No,남,1727,53.1,257,670,19,370
413,No,No,남,1726,77,243,880,19,441
432,No,No,남,1708,64.1,260,763,19,424
420,No,No,남,1694,64.8,238,748,19,424
421,No,No,남,1720,76.3,246,805,19,448
424,No,No,남,1684,52.8,246,651,19,382
450,No,No,남,1760,59.8,252,700,19,414
474,No,No,남,1768,65.8,267,699,19,392
455,No,No,남,1749,62.6,257,710,19,403
425,No,No,남,1614,54.5,236,677,19,403
447,No,No,남,1725,57.3,250,698,19,404
506,No,No,남,1800,63.7,258,712,19,423
462,No,No,남,1711,65.9,254,775,19,387
424,No,No,남,1630,57.6,252,710,19,385
447,No,No,남,1678,58.4,253,708,19,416
458,No,No,남,1733,62,262,705,19,392
429,No,No,남,1688,72.1,263,780,19,492
430,No,No,남,1716,65,254,713,19,402
456,No,No,남,1697,58.3,254,664,19,400
470,No,No,남,1780,69.3,266,734,19,432
425,No,No,남,1650,64.9,234,765,19,420
430,No,No,남,1745,71.5,255,749,19,403
415,No,No,남,1627,75.4,227,868,19,428
463,No,No,남,1830,95.7,270,911,19,474
413,No,No,남,1681,67.7,245,750,19,400
411,No,No,남,1643,57.9,240,716,19,363
462,No,No,남,1805,79.5,261,820,19,450
