어깨너비,Selected,Selected (1),성별,나이,키,허리둘레,몸무게,발사이즈,암홀둘레,무릎높이
continuous,No Yes,No Yes,남 여,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,
402,No,No,남,18.000,1772,813,78.6,250,432,465
399,No,No,남,18.000,1712,800,70.7,246,409,440
394,No,No,남,18.000,1765,830,74.9,265,425,472
436,No,No,남,18.000,1730,816,72.8,248,444,460
402,No,No,남,18.000,1751,716,63,252,377,469
420,No,No,남,18.000,1827,779,76.8,262,438,516
406,No,No,남,18.000,1695,709,60.4,248,399,445
410,No,No,남,18.000,1744,712,66.8,250,398,443
392,No,No,남,18.000,1711,680,58.9,250,452,438
420,No,No,남,18.000,1816,690,61.1,266,425,496
408,No,No,남,18.000,1763,760,69.4,265,375,483
405,No,No,남,18.000,1685,702,56.4,252,397,450
396,No,No,남,18.000,1701,725,65.3,260,422,446
380,No,No,남,18.000,1732,748,66,256,401,457
410,No,No,남,18.000,1794,875,83.6,261,455,485
411,No,No,남,18.000,1671,812,73.2,244,373,449
398,No,No,남,18.000,1786,904,91.4,268,463,446
387,No,No,남,18.000,1680,792,64,243,417,466
415,No,No,남,18.000,1864,687,60.7,265,443,507
400,No,No,남,18.000,1730,670,58.6,254,392,463
432,No,No,남,18.000,1700,844,80.6,241,426,448
369,No,No,남,18.000,1788,723,68.3,268,423,466
406,No,No,남,18.000,1763,842,74.2,256,443,485
393,No,No,남,18.000,1710,805,73.4,248,416,440
401,No,No,남,18.000,1772,784,78.9,260,414,451
425,No,No,남,18.000,1768,747,75.1,275,404,454
390,No,No,남,18.000,1746,686,57.1,253,417,453
404,No,No,남,18.000,1700,815,74.8,260,435,462
432,No,No,남,18.000,1758,854,87.9,257,478,478
408,No,No,남,18.000,1646,745,59.4,238,403,445
387,No,No,남,18.000,1736,712,66.2,251,413,462
361,No,No,남,18.000,1640,645,47.2,232,370,428
374,No,No,남,18.000,1701,719,62.6,245,416,437
404,No,No,남,18.000,1825,715,64.2,265,404,476
404,No,No,남,18.000,1764,644,58.7,255,391,467
400,No,No,남,18.000,1780,683,66,259,397,484
404,No,No,남,18.000,1805,739,69.7,264,387,474
406,No,No,남,18.000,1743,711,64.2,262,389,492
377,No,No,남,18.000,1730,684,60.7,251,371,468
376,No,No,남,18.000,1668,586,46.8,237,368,455
405,No,No,남,18.000,1747,760,73.1,248,435,466
425,No,No,남,18.000,1750,730,72.9,256,415,496
